	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"
"AT1G72230"	10.7	10.76	11.02	10.91	10.66	10.23	9.79	8.9	8.42	8.45	8.72	8.66	8.28	8	7.82	7.13	7.21	7.17
"AT1G72240"	8.19	7.83	7.59	7.49	6.97	7.25	7.15	7.28	7.15	7.19	6.87	6.88	7.04	6.96	6.84	6.75	6.6	6.63
"AT1G72250"	3.86	3.96	4.95	5.38	5.53	5.7	5.53	5.88	6.19	6.32	6.52	6.51	6.74	7.01	7.22	7.46	7.06	7.22
"AT1G72270"	3.28	3.3	3.33	3.27	3.32	3.22	3.29	3.18	3.44	3.46	3.34	3.31	3.35	3.55	3.46	3.43	3.57	3.5
"AT1G72280"	6.41	6.66	5.96	6.08	6.07	6.1	6.13	6.04	5.86	5.6	5.62	5.81	5.88	5.78	5.77	5.49	5.59	5.55
"AT1G72300"	7.56	7.6	7.27	6.99	7.53	7.76	8.01	7.93	7.91	7.65	7.47	7.21	6.88	6.8	6.96	6.71	6.71	6.18
"AT1G72310"	8.84	9.85	8.99	9	9.54	9.58	9.32	8.95	8.62	8.49	8.68	8.53	8.48	8.4	8.17	8.06	8.02	7.95
"AT1G72320"	5.46	6.21	6.55	6.46	6.79	6.74	6.86	7.01	7.27	6.85	7	7	7.28	7.57	7.64	7.48	7.67	7.5
"AT1G72340"	7.18	7.13	7.22	7.01	7.23	7.24	7.44	7.51	7.6	7.52	7.63	7.5	7.69	7.87	7.76	7.79	7.79	7.88
"AT1G72350"	3.48	3.65	3.51	3.35	3.41	3.49	3.4	3.35	3.19	3.35	3.37	3.48	3.42	3.34	3.31	3.23	3.39	3.32
"AT1G72360"	6.75	6.78	6.41	6.36	6.86	7.53	7.85	7.94	8.13	8.49	7.94	7.63	7.72	7.63	7.86	8.06	7.94	7.93
"AT1G72370"	9.63	10.3	10.76	10.73	11.13	11.33	11.47	11.67	11.82	11.8	11.9	11.98	12.25	12.38	12.45	12.51	12.49	12.51
"AT1G72410"	4.92	4.85	4.82	4.78	4.96	4.96	4.99	4.96	5.1	5.18	5.11	5.01	4.93	4.95	5.08	5.15	5.25	5.3
"AT1G72420"	5.5	5.6	6.11	6.12	6.48	6.43	6.45	6.62	6.7	6.78	6.74	6.74	7.14	7.54	7.56	7.82	7.73	7.84
"AT1G72430"	9.77	10.03	9.36	8.37	7.71	7.67	7.52	7.15	6.98	6.47	6.48	6.5	7.06	6.81	6.52	6.23	6.01	5.81
"AT1G72440"	6.46	7.18	7.55	7.43	7.69	7.89	7.91	8.03	7.99	7.84	8.17	8.25	8.68	8.95	8.92	8.87	8.84	8.75
"AT1G72450"	8.32	7.57	7.53	8.79	7.9	8.03	7.87	8.05	7.82	8.36	7.85	7.64	7.58	7.49	7.68	7.38	6.84	6.74
"AT1G72470"	5.92	5.73	5.77	5.45	5.52	5.53	5.36	5.31	5.2	4.56	5.24	5.13	5.3	5.48	5.48	5.68	5.98	6.04
"AT1G72480"	6.14	5.98	6.44	6.45	6.62	6.7	6.85	6.73	6.81	6.88	6.99	7.05	7.37	7.47	7.43	7.67	7.7	7.62
"AT1G72490"	4.74	5.03	6.12	6.16	6.23	5.94	5.6	4.65	4.23	4.08	4.52	4.69	4.73	4.66	4.59	4.6	4.88	4.96
"AT1G72500"	9.51	9.61	9.21	8.81	8.93	9.02	9.03	9.07	8.94	8.5	8.66	8.54	8.45	8.51	8.44	8.28	8.4	8.3
"AT1G72530"	4.57	4.73	4.57	4.67	4.64	4.54	4.72	4.74	4.86	4.73	4.91	4.77	4.65	4.55	4.8	4.94	4.96	4.88
"AT1G72540"	3.74	3.64	3.77	3.99	3.81	4.11	3.84	3.87	3.88	3.92	3.82	3.74	3.73	3.68	3.75	3.47	3.52	3.42
"AT1G72550"	8.27	8.47	8.67	8.64	8.81	8.73	8.87	9.03	9.03	8.89	9.11	9.05	9.37	9.55	9.68	9.82	9.83	9.79
"AT1G72560"	5.55	5.88	6	5.8	6.05	5.86	5.75	6.05	6.05	5.9	5.69	5.8	6.13	6.36	6.41	6.36	6.36	6.37
"AT1G72580"	3.03	3	2.8	2.81	2.77	2.68	2.76	2.76	2.75	2.81	2.75	2.75	2.76	2.68	2.72	2.64	2.78	2.74
"AT1G72610"	4.59	4.9	4.17	4.3	4.07	4.02	3.87	3.72	3.69	3.92	3.83	3.69	4.08	4.29	3.73	4.07	4.1	3.95
"AT1G72630"	7.64	7.65	7.36	6.83	6.9	6.99	7.13	7.15	7.15	7.07	6.95	6.86	6.93	7.17	7.1	7.66	7.75	7.77
"AT1G72640"	4.66	4.66	4.73	4.74	4.51	4.63	4.5	4.64	4.58	4.65	4.48	4.55	4.47	4.22	4.35	4.3	4.4	4.55
"AT1G72650"	6.44	6.33	6.4	6.29	6.55	6.57	6.55	6.51	6.6	6.31	6.41	6.2	6.21	6.08	6.05	6.04	6.07	6.08
"AT1G72670"	3.46	3.66	4.82	5.25	5.39	5.5	5.49	5.57	5.89	6.09	6.18	6.22	6.68	6.94	6.89	7	7.01	7.06
"AT1G72680"	9.6	9.55	9.55	9.52	9.32	8.97	8.93	8.75	8.71	8.86	8.81	8.62	8.47	8.43	8.54	8.59	8.71	8.81
"AT1G72700"	9.22	9.22	9.1	9.25	9.49	9.55	9.56	9.63	9.48	9.57	9.46	9.52	9.31	8.97	8.91	8.47	8.57	8.23
"AT1G72710"	9.85	10.01	9.58	9.5	9.29	9.15	9.1	9.15	9.14	9.23	9.14	9.04	8.92	8.89	8.84	8.69	8.8	8.81
"AT1G72730"	6.59	6.61	5.95	5.66	5.37	5.81	5.99	6.3	6.77	6.48	7.03	7.18	7.74	8.15	8.39	8.67	8.57	8.76
"AT1G72740"	6.8	6.87	7.11	7.04	7.15	7.16	7.31	7.32	7.29	7.29	7.24	7.26	7.31	7.46	7.43	7.46	7.51	7.38
"AT1G72750"	8.21	8.26	8.38	8.41	8.6	8.82	8.92	8.85	8.91	8.71	8.87	8.92	9.23	9.33	9.4	9.38	9.29	9.39
"AT1G72770"	8.19	8.02	7.75	7.9	8.02	7.97	7.89	7.52	7.32	7.31	7.62	7.76	7.64	7.48	7.36	7.44	7.39	7.43
"AT1G72790"	6.08	5.93	5.97	6	5.74	5.45	5.44	5.78	5.77	5.61	5.45	5.49	5.43	5.41	5.48	5.53	5.55	5.49
"AT1G72800"	5.63	5.36	5.55	5.71	5.82	5.85	5.8	5.8	5.64	5.38	5.67	5.61	5.53	5.41	5.43	5.08	5.22	5
"AT1G72810"	8.47	8.39	8.43	8.29	8.54	8.69	8.59	8.61	8.71	8.28	8.44	8.42	8.24	8.14	8.14	8.13	8.15	7.98
"AT1G72820"	7.44	7.55	7.79	7.6	7.56	7.66	7.59	7.55	7.62	7.91	7.95	7.77	7.19	7.06	6.98	7.45	7.64	7.87
"AT1G72840"	5.57	5.79	5.22	5.06	5.03	4.67	4.85	4.7	4.59	4.8	4.85	4.79	5.15	5.19	5.29	5.75	5.98	6
"AT1G72850"	5.98	6.59	5.86	5.52	5.28	4.93	4.87	4.8	5.04	5.07	5.15	5.29	5.5	5.72	5.62	6.3	6.29	6.46
"AT1G72860"	3.96	4.06	3.47	3.66	3.51	3.39	3.4	3.69	3.39	3.63	3.19	3.28	3.37	3.34	3.31	3.3	3.4	3.29
"AT1G72870"	5.64	5.68	5.14	5.09	4.91	5.01	5.14	5.36	5.16	5.17	4.97	4.97	4.69	4.64	4.78	4.63	4.6	4.52
"AT1G72890"	6.75	6.54	6.33	5.93	5.54	5.22	5.23	5.18	5.31	5.85	6.04	5.39	4.75	4.55	4.64	4.68	4.57	4.82
"AT1G72900"	6.43	6.46	5.97	6.04	5.6	5.79	5.87	6.47	6.91	7.03	6.49	6.13	5.49	4.71	5.09	5.22	5.21	5.03
"AT1G72950"	6.05	5.79	5.46	5.86	5.69	6.3	6.33	6.27	6.41	6.48	6.36	6.05	5.81	5.82	6.01	5.81	5.73	5.67
"AT1G72960"	4.17	3.82	3.74	4.02	4.01	3.92	3.9	3.88	3.71	4.04	3.74	3.79	3.79	3.81	3.81	3.88	3.68	3.69
"AT1G72970"	4.04	4.04	4.08	4.4	5.01	5.6	5.89	6.2	6.41	6.61	6.71	6.78	7.42	7.85	8.05	8.84	8.87	9.11
"AT1G72990"	5.44	5.63	5.92	6.21	6.44	6.46	6.66	6.41	6.39	6.37	6.4	6.41	6.37	6.44	6.27	6.25	6.25	6.29
"AT1G73010"	5.64	4.65	4.81	5.64	5.3	5.57	5.47	5.28	5.34	5.11	5.33	5.3	5.48	5.6	5.3	4.51	4.25	4.18
"AT1G73020"	6.39	6.29	6.46	6.4	6.43	6.2	6.24	6.29	6.21	6.2	6.11	6.5	6.54	6.55	6.59	6.26	6.52	6.49
"AT1G73030"	9.45	9.48	9.43	9.35	9.24	9.15	9.19	9.25	9.25	9.39	9.27	9.21	9.07	9.02	9	8.88	9.03	8.98
"AT1G73060"	6.85	6.74	7.01	7.09	7.37	7.08	7.09	7	6.96	6.81	6.82	6.71	6.54	6.5	6.36	6.27	6.58	6.55
"AT1G73080"	8.73	8.53	7.86	8.55	7.69	7.65	7.6	7.62	7.7	7.79	7.55	7.46	7.5	7.53	7.51	7.5	7.34	7.23
"AT1G73090"	4.33	4.47	4.22	4.78	4.56	4.62	4.58	4.76	4.93	5.02	5.32	5.36	5.36	5.56	5.63	5.93	6.04	6.16
"AT1G73100"	5.91	5.83	6.03	6.05	6.27	6.42	6.43	6.46	6.44	6.27	6.39	6.29	6.43	6.56	6.51	6.7	6.78	6.66
"AT1G73110"	4.4	4.42	4.33	4.27	4.49	4.54	4.47	4.39	4.41	4.24	4.39	4.18	3.98	3.91	3.85	3.82	3.78	3.77
"AT1G73120"	5.66	6.23	7.58	8.81	8.97	8.72	9.27	9.36	9.76	10.27	10.17	9.24	7.5	6.6	6.11	5.73	6.79	6.54
"AT1G73130"	5.79	5.68	5.82	6.02	6.26	6.63	6.6	6.48	6.47	6.32	6.39	6.37	6.37	6.2	6.04	5.9	5.73	5.57
"AT1G73160"	4.5	4.3	4.31	4.4	4.15	4.19	4.11	4.04	4.16	4.53	4.53	4.73	4.79	5.04	4.79	5.38	5.3	5.52
"AT1G73170"	7.71	7.45	7.57	7.42	7.42	7.18	7.06	7.12	7.04	6.84	7.2	7.06	7.01	6.76	6.71	6.5	6.59	6.44
"AT1G73180"	6.88	7.1	7.36	7.23	7.42	7.61	7.7	7.97	8	7.83	7.89	7.98	8.18	8.34	8.5	8.5	8.62	8.51
"AT1G73190"	4.82	4.91	4.7	4.83	4.69	4.69	4.34	4.52	4.32	4.42	4.37	4.31	4.2	4.18	4.36	4.34	4.38	4.35
"AT1G73200"	7.19	7.06	6.91	6.77	6.94	6.84	6.79	6.87	6.86	6.82	6.79	6.65	6.52	6.52	6.53	6.52	6.58	6.55
"AT1G73220"	4.1	3.7	4.05	4.51	5.03	4.52	4.59	4.32	4.23	3.87	3.87	4.09	4.19	4.16	4.7	4.11	4.06	3.77
"AT1G73230"	9.45	9.83	10.25	10.22	10.37	10.64	10.54	10.77	10.9	11.08	11.04	11.22	11.41	11.68	11.72	11.79	11.73	11.81
"AT1G73240"	5.46	5.61	6.13	6.18	6.23	6.42	6.51	6.57	6.6	6.24	6.45	6.58	6.95	7.19	7.17	7.21	7.11	6.9
"AT1G73250"	6.78	6.66	6.46	6.43	6.28	6.31	6.29	6.23	6.34	6.7	6.71	6.62	6.5	6.52	6.71	7.02	7.11	7.34
"AT1G73260"	9.9	9.87	10.38	11.01	10.98	10.73	10.56	10.48	10.78	11.82	11.6	11.07	10.48	10.07	9.7	9.92	10.23	10.15
"AT1G73270"	5.63	5.42	5.67	5.46	5.46	5.59	5.83	5.97	5.93	6	6.21	5.99	5.73	5.52	5.67	5.16	5.29	5.09
"AT1G73280"	6.8	6.71	6.71	6.53	6.31	6.37	6.29	5.98	6	5.83	6.24	6.23	5.77	5.75	5.57	4.72	5.22	4.99
"AT1G73290"	3.19	3.01	3.79	5.56	7.25	7.39	6.83	5.22	4.39	4.33	5.13	5.46	4.13	3.78	3.27	3.1	2.99	3.14
"AT1G73310"	3.43	3.34	3.66	3.77	3.87	4.16	4.16	4.09	4.02	4.02	4.27	4.16	3.83	3.98	3.85	3.35	3.69	3.49
"AT1G73320"	4.81	4.99	4.99	4.93	4.95	5.11	5.17	5.03	5.21	5.32	5.37	5.41	5.41	5.66	5.65	5.57	5.73	5.94
"AT1G73330"	7.65	7.19	9.14	10.55	11.33	12.06	12.37	12.43	12.56	12.42	12.53	12.48	12.31	12.11	12.21	12.2	12.15	12.25
"AT1G73340"	5.64	5.43	5.06	4.86	4.58	4.68	4.94	4.99	5.29	5.73	5.58	5.69	5.64	5.37	5.37	5.17	5.09	4.87
"AT1G73350"	6.58	6.61	6.51	6.22	6.4	6.38	6.4	6.4	6.47	6.68	6.69	6.71	6.49	6.64	6.86	6.85	6.74	6.73
"AT1G73370"	4.4	4.56	4.72	6.68	8.1	6.85	6.26	5.32	4.73	4.75	4.78	4.68	4.67	4.96	5.15	5.45	5.39	5.95
"AT1G73380"	6.13	6.05	6	6.05	6.02	6.19	6.07	6.14	6.27	6.38	6.31	6.22	6.14	6.18	6.08	6.42	6.48	6.48
"AT1G73390"	8.55	8.18	8.37	8.14	8.25	8.19	8.27	8.36	8.32	8.22	8.18	8.16	7.81	7.87	7.8	7.49	7.43	7.32
"AT1G73410"	3.93	3.7	3.87	5	6.4	7.29	7.73	7.69	7.44	7.03	6.68	6.65	6.9	6.68	6.02	5.43	4.9	4.33
"AT1G73430"	5.6	5.77	5.78	5.59	6	6.03	6.09	6.24	6.34	5.8	6.23	6.11	6.24	6.34	6.46	6.72	6.62	6.54
"AT1G73440"	6.44	6.25	6.39	6.12	6.34	6.38	6.32	6.37	6.4	6.37	6.42	6.55	6.5	6.4	6.58	6.71	6.64	6.67
"AT1G73470"	5.53	5.62	5.79	5.76	5.88	6.08	6.17	6.37	6.39	6.46	6.19	5.98	6.15	6.32	6.38	6.75	6.73	6.84
"AT1G73480"	5.73	5.54	5.1	5.75	6.88	7.17	7.16	7.22	7.07	6.93	6.66	6.59	6.53	6.1	5.84	5.71	5.69	5.32
"AT1G73490"	8.17	8.44	8.8	8.85	9.17	9.19	9.31	9.41	9.49	9.41	9.51	9.58	9.91	10.03	10.04	10.09	10	9.99
"AT1G73500"	9.58	9.18	9.51	9.76	9.6	9.57	9.57	9.41	9.47	9.58	9.55	9.44	9.12	8.93	9.01	8.67	8.81	8.72
"AT1G73530"	4.95	5.05	5	5.41	5.15	5.17	5.16	4.95	5.16	5.46	5.45	5.38	5.44	5.72	5.65	5.86	5.9	6.13
"AT1G73590"	6.38	7.5	7.69	7.46	7.61	7.38	7.23	7.56	7.5	7.41	7.25	7.44	7.84	8.17	8.29	8.48	8.58	8.72
"AT1G73600"	3.47	3.49	3.6	3.59	3.71	5.31	6.8	7.59	8.06	6.64	7.05	7.13	8.15	8.7	9.22	8.81	8.77	8.65
"AT1G73620"	4.28	4.19	3.85	4.03	4.33	4.16	4.19	4.28	4.57	5.5	6.64	7.15	8.7	9.36	9.57	9.95	9.74	9.97
"AT1G73630"	7.23	7.01	6.45	6.53	6.97	6.96	7.02	6.86	6.36	5.64	6.1	5.84	6.2	5.94	5.87	5.14	4.92	5.14
"AT1G73640"	8.57	8.81	8	6.74	6	5.78	5.93	6	5.99	5.91	5.97	6.41	6.44	6.54	6.64	6.45	6.39	6.15
"AT1G73650"	9.64	9.41	9.9	10.1	10.08	9.61	9.33	8.69	8.52	8.82	9.16	9.54	9.25	8.91	8.5	7.74	7.93	8.07
"AT1G73660"	6.86	6.66	6.84	6.75	6.95	6.99	6.87	6.81	6.43	6.23	5.96	6.21	6.18	6.1	6.06	5.67	5.68	5.35
"AT1G73670"	7.58	7.57	7.19	7.31	7.18	7.09	7.21	7.11	7.03	6.94	6.76	6.79	6.75	6.74	6.74	6.52	6.62	6.52
"AT1G73680"	7.09	6.67	6.54	5.86	5.57	5.61	5.45	5.45	5.43	5.33	5.27	5	4.91	4.83	4.73	4.51	4.5	4.3
"AT1G73690"	3.78	4.11	4.42	4.45	4.75	4.94	4.78	4.68	4.57	4.58	4.51	4.58	4.73	5.19	5.18	5.5	5.39	5.07
"AT1G73720"	6.3	6.23	6.45	6.45	6.58	6.77	6.99	7.09	7.18	7.14	7.23	7.21	7.36	7.52	7.55	7.76	7.77	7.81
"AT1G73730"	6.67	6.68	6.51	6.37	6.5	6.53	6.59	6.48	6.5	6.29	6.38	6.42	6.26	6.22	6.37	6.14	6.09	6.19
"AT1G73740"	5.68	5.57	5.79	5.69	5.58	5.55	5.64	5.58	5.47	5.56	5.67	5.7	5.41	5.34	5.22	5.26	5.41	5.41
"AT1G73750"	5.23	4.9	5.37	5.76	5.7	5.55	5.49	6.29	6.82	7.51	7.2	7.01	6.1	5.83	5.57	5.91	6.25	6.06
"AT1G73760"	6.3	6.63	7.21	7.51	7.6	7.37	7.33	7.61	7.68	7.98	7.67	7.73	7.49	7.39	7.58	7.41	7.47	7.42
"AT1G73780"	3.02	3.11	3	2.92	3.01	2.85	2.92	2.86	2.84	3.09	3.07	2.98	3.07	3.24	3.17	3.32	3.42	3.76
"AT1G73820"	6.05	6.11	6.39	6.41	6.64	6.5	6.66	6.83	6.92	6.95	7.16	7.15	7.22	7.51	7.56	7.7	7.78	7.82
"AT1G73830"	3.24	3.36	3.34	3.29	3.63	3.67	3.62	3.34	3.28	3.26	3.38	3.35	3.25	3.33	3.25	3.21	3.22	3.13
"AT1G73840"	7.03	6.98	7.01	7.13	7.08	7.13	7.22	7.31	7.25	7.24	7.3	7.18	7.32	7.36	7.46	7.78	7.66	7.55
"AT1G73850"	4.53	4.43	4.28	4.46	4.31	4.28	4.28	4.19	4.28	4.3	4.3	4.18	4.03	3.96	3.97	3.98	4.09	4.02
"AT1G73860"	5.55	5.57	4.31	3.67	3.56	3.57	3.49	3.46	3.42	3.64	3.45	3.49	3.48	3.42	3.4	3.34	3.51	3.34
"AT1G73910"	3.19	3.24	3.28	3.34	3.39	3.23	3.31	3.34	3.41	3.55	3.45	3.49	3.42	3.5	3.66	3.57	3.73	3.74
"AT1G73920"	9.38	9.15	9.05	9.03	8.82	8.78	8.9	8.75	8.73	8.84	8.73	8.74	8.52	8.45	8.27	8.31	8.11	7.98
"AT1G73930"	6.65	6.7	6.66	6.66	6.56	6.65	6.49	6.59	6.66	6.65	6.74	6.81	6.91	6.87	6.92	7.11	7.01	7.1
"AT1G73940"	7.04	7.32	7.64	7.57	7.94	8.11	8.23	8.44	8.61	8.58	8.71	8.73	9.08	9.19	9.48	9.74	9.83	9.87
"AT1G73950"	7.27	7.28	7.28	7.24	7.35	7.6	7.55	7.51	7.51	7.54	7.56	7.46	7.32	7.22	7.12	6.87	7.11	6.92
"AT1G73970"	6.11	6.11	6.47	6.26	6.51	6.63	6.65	6.51	6.41	6.28	6.31	6.34	6.12	6.18	6.18	5.93	6.06	6.13
"AT1G73980"	7.79	7.66	7.77	7.78	7.72	7.58	7.51	7.75	7.74	7.83	7.62	7.48	7.17	7.12	7.19	7.13	7.3	7.22
"AT1G73990"	7.58	7.56	7.76	7.66	7.88	7.68	7.63	7.44	7.26	7.04	6.96	7.07	7.11	7.15	7.05	6.94	6.96	6.99
"AT1G74000"	4.24	4.24	4	4.23	5.03	5.83	5.93	6.26	6.61	6.67	6.89	6.85	6.22	6.05	5.83	5.26	5.04	4.54
"AT1G74010"	4.19	4.1	4.28	4.19	4.17	5.11	5.43	6.37	7.06	6.89	7.05	6.95	6.25	6.25	6.43	5.67	5.66	5.05
"AT1G74020"	10.99	10.88	11.3	11.3	11.1	10.81	10.73	10.34	10.16	10.1	10.2	10.22	9.99	9.81	9.8	9.19	9.14	8.98
"AT1G74030"	9.74	9.77	9.93	9.97	10.01	10.03	10.16	10	9.75	9.22	9.43	9.47	9.8	9.92	9.98	9.99	9.94	9.99
"AT1G74040"	5.6	5.7	6	6.01	6.26	6.21	6.12	6.34	6.31	6.1	6.08	6.15	6.38	6.5	6.58	6.78	6.77	6.68
"AT1G74050"	9.3	9.87	10.18	9.96	10.31	10.51	10.52	10.77	10.9	10.82	11.06	10.95	11.43	11.45	11.51	11.55	11.53	11.76
"AT1G74060"	9.3	9.87	10.18	9.96	10.31	10.51	10.52	10.77	10.9	10.82	11.06	10.95	11.43	11.45	11.51	11.55	11.53	11.76
"AT1G74080"	6.23	6.44	5.46	4.11	3.77	3.59	3.81	3.6	3.62	3.71	3.34	3.43	3.48	3.51	3.54	3.72	3.57	3.57
"AT1G74090"	9.13	8.66	9.17	9.22	9.52	10.05	10.26	10.25	10.28	9.28	9.5	9.2	9.37	9.6	9.84	9.6	9.56	9.23
"AT1G74100"	10.06	9.94	10.05	10.09	10.2	10.33	10.45	10.47	10.22	9.52	9.67	9.92	10.16	10.16	10.19	9.94	9.9	9.87
"AT1G74150"	3.35	3.43	3.65	3.5	3.71	3.65	3.81	3.88	3.83	3.85	3.71	3.59	3.61	3.82	3.92	3.67	3.72	3.77
"AT1G74160"	6.25	6.24	6.09	6.11	6.31	6.39	6.5	6.59	6.52	6.28	6.34	6.4	6.31	6.33	6.48	6.43	6.46	6.36
"AT1G74180"	3.57	3.5	3.56	3.52	3.75	3.78	3.79	4.04	4.03	3.78	3.66	3.77	3.76	3.7	3.69	3.69	3.75	3.67
"AT1G74210"	8.17	8.08	8.57	8.87	9.04	8.93	8.98	8.84	8.73	8.48	8.28	8.4	8.45	8.46	8.45	8.26	8.19	8.08
"AT1G74220"	3.56	3.6	3.34	3.64	3.51	3.52	3.41	3.5	3.38	3.4	3.39	3.23	3.39	3.37	3.36	3.57	3.33	3.31
"AT1G74230"	8.61	8.67	8.7	8.63	8.89	9.05	9.03	9.23	9.1	8.71	8.95	8.88	8.98	9.23	9.18	9.03	9.21	9.26
"AT1G74240"	6.97	6.99	7.23	7.26	7.51	7.63	7.63	7.66	7.63	7.34	7.42	7.43	7.73	7.96	7.87	7.97	7.96	7.96
"AT1G74250"	6.03	6.22	6.41	6.42	6.56	6.53	6.72	6.77	6.84	6.79	6.93	6.91	6.82	7.11	7.09	7.09	7.09	7.02
"AT1G74260"	7.17	7.53	7.96	7.9	8.31	8.34	8.28	8.44	8.5	8.26	8.21	8.33	8.69	8.89	8.95	9.05	9.06	9.08
"AT1G74270"	8.3	8.54	8.96	9.05	9.21	9.58	9.53	9.8	9.91	9.9	9.84	9.87	10.26	10.45	10.52	10.83	10.66	10.69
"AT1G74300"	6.32	6.18	6.52	6.53	6.82	6.77	6.81	6.49	6.46	6.28	6.36	6.27	6.14	5.96	6.03	5.93	5.97	6.05
"AT1G74310"	6.43	6.48	6.81	6.61	6.71	6.8	6.57	6.46	6.37	6.14	6.33	6.8	6.98	6.9	6.33	6.18	6	5.84
"AT1G74320"	6.14	5.99	6.2	6.23	6.32	6.26	6.45	6.33	6.39	6.5	6.68	6.62	6.44	6.44	6.28	6.56	6.57	6.53
"AT1G74340"	8.8	8.71	8.79	8.83	8.68	8.84	8.87	8.78	8.73	8.45	8.42	8.35	8.52	8.46	8.61	8.58	8.45	8.5
"AT1G74360"	6.75	6.73	6.31	6.12	5.85	5.81	5.83	5.9	5.65	5.51	5.43	5.22	5.34	5.19	5.21	5.01	4.79	4.71
"AT1G74370"	6.43	6.52	6.44	6.47	6.19	6.01	5.8	5.8	6.05	6.52	6.45	6.33	6.07	6.06	6.18	6.32	6.26	6.34
"AT1G74380"	8.83	8.74	8.67	8.59	8.47	8.52	8.6	8.5	8.35	8.18	8.46	8.57	8.51	8.48	8.42	8.14	8.39	8.4
"AT1G74390"	4.41	4.71	4.73	4.83	4.83	5.14	5.08	5.29	5.22	5.29	5.19	5.17	5.39	5.65	5.5	5.52	5.63	5.58
"AT1G74400"	3.9	3.88	3.87	4.2	3.89	3.87	3.94	3.93	3.98	4.03	4.08	4.11	4.22	4.29	4.37	4.27	4.46	4.45
"AT1G74410"	7.56	7.36	7.5	7.45	7.5	7.61	7.69	7.59	7.42	7.53	7.5	7.39	7.11	7	6.89	6.61	6.83	6.59
"AT1G74430"	4.9	4.24	4.34	4.91	4.32	3.81	3.82	3.51	3.46	3.96	4.03	4.31	4.02	3.9	3.7	3.84	3.44	3.62
"AT1G74440"	5.75	5.52	5.38	5.78	5.68	5.99	6.15	6.2	6.26	6.52	6.52	6.59	6.3	6.19	6.07	5.65	5.78	5.79
"AT1G74460"	5.31	6.05	8.61	10.65	12.05	12.31	12.3	11.92	11.59	11.33	11.55	11.71	11.57	11.11	10.65	9.32	9.05	8.79
"AT1G74470"	10	9.94	9.74	9.29	9.11	8.83	8.64	8.31	8.16	8.01	8.25	8.3	8.08	7.95	7.8	7.45	7.46	7.36
"AT1G74490"	3.72	3.8	3.61	3.59	3.6	3.57	3.64	3.82	3.75	3.98	4.19	4.2	4.81	5.19	5.07	5.93	5.96	6.19
"AT1G74500"	3.61	3.71	3.96	3.78	4.2	4.82	4.83	5.8	6.56	6.73	7.11	7.41	7.82	8.33	8.29	8.74	8.83	9.12
"AT1G74510"	8.21	8.26	8.26	7.85	7.95	7.88	7.69	7.69	7.51	7.23	7.46	7.48	7.39	7.42	7.35	7.18	7.42	7.44
"AT1G74520"	6.94	6.73	6.95	7.12	7.23	7.44	7.55	7.6	7.71	7.8	7.91	8.06	7.88	7.78	7.75	7.58	7.84	7.91
"AT1G74530"	6.34	6.43	6.32	6.35	6.41	6.39	6.22	6.38	6.38	6.37	6.36	6.39	6.44	6.62	6.62	6.77	6.57	6.81
"AT1G74560"	7.19	8.23	8.87	8.91	9.03	9.19	9.17	9.23	9.54	9.47	9.51	9.6	9.97	10.24	10.36	10.39	10.38	10.37
"AT1G74590"	6.58	6.52	5.96	6.07	6	6.14	6.34	6.48	6.27	6.76	6.55	6.32	6.65	6.89	6.73	6.37	6.3	6.08
"AT1G74600"	3.83	3.93	4.17	4.18	4.04	4.13	4.03	4.06	4.08	4.09	4.13	4.12	4.17	4.2	4.41	4.57	4.26	4.44
"AT1G74630"	3.27	3.35	3.22	3.31	3.07	3.17	2.98	3.19	3.11	3.11	3.11	3.11	2.97	3.03	3.04	3.03	3.03	3.03
"AT1G74640"	8.14	8.14	7.78	7.47	7.22	7.27	7.29	7.17	7.14	6.99	7	7	7.02	6.98	6.82	6.75	6.61	6.48
"AT1G74650"	4.6	4.04	4.47	4.36	4.11	3.9	3.99	3.79	3.7	3.61	3.41	3.45	3.48	3.48	3.52	3.55	3.43	3.5
"AT1G74660"	8.88	9.22	9.09	8.94	9.08	9.23	9.39	9.49	9.33	8.9	8.75	8.7	8.9	8.76	8.81	8.54	8.52	8.44
"AT1G74670"	2.9	3.85	3.49	2.96	2.85	2.82	2.9	2.82	2.84	2.88	2.83	2.93	2.98	2.97	2.82	2.81	2.83	2.84
"AT1G74680"	7.27	7.14	7.19	6.99	7.29	7.59	7.5	7.56	7.57	7.34	7.22	7.24	7.13	7.08	7.01	6.84	6.97	7.03
"AT1G74690"	7.53	7.55	7.71	7.74	7.93	7.91	8.05	8.13	8.27	7.9	8.08	8.26	8.4	8.41	8.59	8.82	8.72	8.73
"AT1G74700"	6.53	6.52	6.63	6.35	6.48	6.51	6.61	6.67	6.51	6.54	6.51	6.4	6.56	6.67	6.85	6.64	6.72	6.73
"AT1G74710"	5.91	5.92	5.41	5.31	5.17	5.41	5.56	5.46	5.24	5.09	5.04	4.82	4.87	5.17	5.28	5.04	4.92	4.98
"AT1G74720"	6.47	6.63	6.56	6.46	6.99	7.16	7.33	7.48	7.39	7	7.06	7.25	7.62	7.82	7.81	7.82	7.84	7.9
